Date,NewPositive,Tested,Nt,Ct,nt,ct,Dnt,Dct,Weekday,Month,Year,Day
2021-02-25,        545,    168.629,168629,545,12.03545631450373,6.300785794663244,0.21578171436449445,0.007366515816762842,Thursday,February,2021,4
2021-02-26,        500,    153.366,153366,500,11.94058250058489,6.214608098422191,-0.09487381391883964,-0.08617769624105254,Friday,February,2021,5
2021-02-27,        429,    120.288,120288,429,11.697644146363904,6.061456918928017,-0.24293835422098553,-0.15315117949417445,Saturday,February,2021,6
2021-02-28,        477,    118.142,118142,477,11.67964256978514,6.1675164908883415,-0.01800157657876511,0.10605957196032456,Sunday,February,2021,7
2021-03-01,        598,    168.917,168917,598,12.037162749003835,6.393590753950631,0.35752017921869594,0.22607426306228984,Monday,March,2021,1
2021-03-02,        601,    161.159,161159,601,11.99014673427238,6.398594934535208,-0.04701601473145445,0.00500418058457619,Tuesday,March,2021,2
2021-03-03,        554,    156.540,156540,554,11.961066847358829,6.317164686747284,-0.02907988691355179,-0.08143024778792363,Wednesday,March,2021,3
2021-03-04,        489,    187.079,187079,489,12.139286266518715,6.192362489474872,0.17821941915988582,-0.1248021972724116,Thursday,March,2021,4
2021-03-05,        470,    155.247,155247,470,11.952772675937522,6.152732694704104,-0.18651359058119255,-0.039629794770768,Friday,March,2021,5
2021-03-06,        452,    115.482,115482,452,11.656869952643179,6.113682179832232,-0.2959027232943434,-0.03905051487187272,Saturday,March,2021,6
2021-03-07,        457,    121.643,121643,457,11.708845804426998,6.124683390894205,0.05197585178381914,0.011001211061973493,Sunday,March,2021,7
2021-03-08,        602,    170.437,170437,602,12.046121005956945,6.400257445308821,0.3372752015299465,0.2755740544146157,Monday,March,2021,1
2021-03-09,        640,    155.495,155495,640,11.954368855743628,6.461468176353717,-0.09175215021331695,0.061210731044896605,Tuesday,March,2021,2
2021-03-10,        552,    153.602,153602,552,11.942120120444272,6.313548046277095,-0.012248735299355218,-0.1479201300766224,Wednesday,March,2021,3
2021-03-11,        583,    186.541,186541,583,12.136406333047015,6.368187186350492,0.19428621260274248,0.05463914007339721,Thursday,March,2021,4
2021-03-12,        486,    161.225,161225,486,11.990556183878578,6.186208623900494,-0.14585014916843697,-0.18197856244999855,Friday,March,2021,5
2021-03-13,        465,    131.522,131522,465,11.786929416987036,6.142037405587356,-0.20362676689154213,-0.04417121831313775,Saturday,March,2021,6
