"Uge";"Aldersgruppe";"Vaccinationsstatus";"Bekræftede tilfælde";"sort_Var";"Befolkningstørrelse";"Bekræftede tilfælde pr. 100.000"
2021-U07;80+;Uvaccinerede;46;0;183239;25,10
2021-U07;80+;1. stik;9;1;54027;16,66
2021-U07;80+;2. stik;6;2;22374;26,82
2021-U07;80+;3. stik;0;3;0;0,00
2021-U08;5-11;Uvaccinerede;376;0;436557;86,13
2021-U08;5-11;1. stik;0;1;1;0,00
2021-U08;5-11;2. stik;0;2;0;0,00
2021-U08;5-11;3. stik;0;3;0;0,00
2021-U08;12-15;Uvaccinerede;190;0;299011;63,54
2021-U08;12-15;1. stik;0;1;11;0,00
2021-U08;12-15;2. stik;0;2;3;0,00
2021-U08;12-15;3. stik;0;3;0;0,00
2021-U08;16-19;Uvaccinerede;223;0;277852;80,26
2021-U08;16-19;1. stik;3;1;1114;269,30
2021-U08;16-19;2. stik;0;2;639;0,00
2021-U08;16-19;3. stik;0;3;0;0,00
2021-U08;20-39;Uvaccinerede;1225;0;1438055;85,18
2021-U08;20-39;1. stik;21;1;31264;67,17
2021-U08;20-39;2. stik;3;2;26252;11,43
2021-U08;20-39;3. stik;0;3;1;0,00
2021-U08;40-64;Uvaccinerede;1124;0;1780853;63,12
2021-U08;40-64;1. stik;37;1;62209;59,48
2021-U08;40-64;2. stik;15;2;64163;23,38
2021-U08;40-64;3. stik;0;3;0;0,00
2021-U08;65-79;Uvaccinerede;240;0;838999;28,61
2021-U08;65-79;1. stik;10;1;23420;42,70
2021-U08;65-79;2. stik;5;2;24967;20,03
2021-U08;65-79;3. stik;0;3;0;0,00
2021-U08;80+;Uvaccinerede;51;0;148099;34,44
2021-U08;80+;1. stik;27;1;79930;33,78
2021-U08;80+;2. stik;10;2;31610;31,64
2021-U08;80+;3. stik;0;3;0;0,00
2021-U09;5-11;Uvaccinerede;427;0;436557;97,81
2021-U09;5-11;1. stik;0;1;1;0,00
2021-U09;5-11;2. stik;0;2;0;0,00
2021-U09;5-11;3. stik;0;3;0;0,00
2021-U09;12-15;Uvaccinerede;191;0;298985;63,88
2021-U09;12-15;1. stik;0;1;37;0,00
2021-U09;12-15;2. stik;0;2;3;0,00
2021-U09;12-15;3. stik;0;3;0;0,00
2021-U09;16-19;Uvaccinerede;240;0;277042;86,63
2021-U09;16-19;1. stik;1;1;1850;54,05
2021-U09;16-19;2. stik;0;2;712;0,00
2021-U09;16-19;3. stik;0;3;0;0,00
2021-U09;20-39;Uvaccinerede;1151;0;1417502;81,20
2021-U09;20-39;1. stik;31;1;48491;63,93
2021-U09;20-39;2. stik;3;2;29578;10,14
2021-U09;20-39;3. stik;0;3;1;0,00
2021-U09;40-64;Uvaccinerede;1094;0;1734252;63,08
2021-U09;40-64;1. stik;49;1;102991;47,58
2021-U09;40-64;2. stik;18;2;69981;25,72
2021-U09;40-64;3. stik;0;3;0;0,00
2021-U09;65-79;Uvaccinerede;200;0;810472;24,68
2021-U09;65-79;1. stik;21;1;49474;42,45
2021-U09;65-79;2. stik;2;2;27441;7,29
2021-U09;65-79;3. stik;0;3;0;0,00
2021-U09;80+;Uvaccinerede;46;0;133950;34,34
2021-U09;80+;1. stik;19;1;92349;20,57
2021-U09;80+;2. stik;5;2;33340;15,00
2021-U09;80+;3. stik;0;3;0;0,00
2021-U10;5-11;Uvaccinerede;465;0;436557;106,52
2021-U10;5-11;1. stik;0;1;1;0,00
2021-U10;5-11;2. stik;0;2;0;0,00
2021-U10;5-11;3. stik;0;3;0;0,00
2021-U10;12-15;Uvaccinerede;210;0;298965;70,24
2021-U10;12-15;1. stik;1;1;57;1754,39
2021-U10;12-15;2. stik;0;2;3;0,00
2021-U10;12-15;3. stik;0;3;0;0,00
2021-U10;16-19;Uvaccinerede;267;0;276344;96,62
2021-U10;16-19;1. stik;3;1;2490;120,48
2021-U10;16-19;2. stik;0;2;770;0,00
2021-U10;16-19;3. stik;0;3;0;0,00
2021-U10;20-39;Uvaccinerede;1231;0;1398900;88,00
2021-U10;20-39;1. stik;38;1;65871;57,69
2021-U10;20-39;2. stik;3;2;30801;9,74
2021-U10;20-39;3. stik;0;3;2;0,00
2021-U10;40-64;Uvaccinerede;1145;0;1699216;67,38
2021-U10;40-64;1. stik;73;1;135422;53,91
2021-U10;40-64;2. stik;10;2;72585;13,78
2021-U10;40-64;3. stik;0;3;1;0,00
2021-U10;65-79;Uvaccinerede;159;0;790200;20,12
2021-U10;65-79;1. stik;25;1;67993;36,77
2021-U10;65-79;2. stik;3;2;29192;10,28
2021-U10;65-79;3. stik;0;3;2;0,00
2021-U10;80+;Uvaccinerede;35;0;124324;28,15
2021-U10;80+;1. stik;16;1;100648;15,90
2021-U10;80+;2. stik;2;2;34667;5,77
2021-U10;80+;3. stik;0;3;1;0,00
2021-U11;5-11;Uvaccinerede;585;0;436557;134,00
2021-U11;5-11;1. stik;0;1;1;0,00
2021-U11;5-11;2. stik;0;2;0;0,00
2021-U11;5-11;3. stik;0;3;0;0,00
2021-U11;12-15;Uvaccinerede;270;0;298952;90,32
2021-U11;12-15;1. stik;0;1;67;0,00
2021-U11;12-15;2. stik;0;2;6;0,00
2021-U11;12-15;3. stik;0;3;0;0,00
2021-U11;16-19;Uvaccinerede;332;0;276081;120,25
2021-U11;16-19;1. stik;1;1;2685;37,24
2021-U11;16-19;2. stik;0;2;838;0,00
2021-U11;16-19;3. stik;0;3;0;0,00
2021-U11;20-39;Uvaccinerede;1435;0;1393448;102,98
2021-U11;20-39;1. stik;40;1;70018;57,13
