"Uge";"Aldersgruppe";"Vaccinationsstatus";"Antal nyindlagte";"sort_Var";"Befolkningstørrelse";"Nyindlagte pr. 100.000"
2021-U24;65-79;3. stik;1;3;40;2500,00
2021-U24;80+;Uvaccinerede;2;0;10776;18,56
2021-U24;80+;1. stik;2;1;4858;41,17
2021-U24;80+;2. stik;4;2;243984;1,64
2021-U24;80+;3. stik;0;3;21;0,00
2021-U25;5-11;Uvaccinerede;1;0;436544;0,23
2021-U25;12-15;Uvaccinerede;1;0;298636;0,33
2021-U25;12-15;1. stik;0;1;252;0,00
2021-U25;12-15;2. stik;0;2;137;0,00
2021-U25;20-39;Uvaccinerede;19;0;1183120;1,61
2021-U25;20-39;1. stik;1;1;177702;0,56
2021-U25;20-39;2. stik;1;2;134709;0,74
2021-U25;20-39;3. stik;0;3;42;0,00
2021-U25;40-64;Uvaccinerede;11;0;370419;2,97
2021-U25;40-64;1. stik;8;1;1226188;0,65
2021-U25;40-64;2. stik;2;2;310513;0,64
2021-U25;40-64;3. stik;1;3;104;961,54
2021-U25;65-79;Uvaccinerede;3;0;37437;8,01
2021-U25;65-79;1. stik;1;1;119458;0,84
2021-U25;65-79;2. stik;5;2;730448;0,68
2021-U25;65-79;3. stik;0;3;43;0,00
2021-U25;80+;Uvaccinerede;0;0;10542;0,00
2021-U25;80+;1. stik;0;1;4129;0,00
2021-U25;80+;2. stik;1;2;244947;0,41
2021-U25;80+;3. stik;0;3;21;0,00
2021-U26;12-15;Uvaccinerede;1;0;295283;0,34
2021-U26;12-15;1. stik;0;1;3583;0,00
2021-U26;12-15;2. stik;0;2;159;0,00
2021-U26;16-19;Uvaccinerede;2;0;86668;2,31
2021-U26;16-19;1. stik;1;1;187680;0,53
2021-U26;16-19;2. stik;0;2;5253;0,00
2021-U26;20-39;Uvaccinerede;20;0;1092705;1,83
2021-U26;20-39;1. stik;1;1;250960;0,40
2021-U26;20-39;2. stik;0;2;151865;0,00
2021-U26;20-39;3. stik;0;3;42;0,00
2021-U26;40-64;Uvaccinerede;3;0;295181;1,02
2021-U26;40-64;1. stik;5;1;1238239;0,40
2021-U26;40-64;2. stik;1;2;373693;0,27
2021-U26;40-64;3. stik;0;3;112;0,00
2021-U26;65-79;Uvaccinerede;1;0;36428;2,75
2021-U26;65-79;1. stik;0;1;64848;0,00
2021-U26;65-79;2. stik;1;2;786065;0,13
2021-U26;65-79;3. stik;0;3;45;0,00
2021-U26;80+;Uvaccinerede;0;0;10381;0,00
2021-U26;80+;1. stik;1;1;3582;27,92
2021-U26;80+;2. stik;4;2;245655;1,63
2021-U26;80+;3. stik;0;3;22;0,00
2021-U27;5-11;Uvaccinerede;1;0;436544;0,23
2021-U27;12-15;Uvaccinerede;1;0;288655;0,35
2021-U27;12-15;1. stik;0;1;10197;0,00
2021-U27;12-15;2. stik;0;2;174;0,00
2021-U27;16-19;Uvaccinerede;1;0;72552;1,38
2021-U27;16-19;1. stik;1;1;201545;0,50
2021-U27;16-19;2. stik;0;2;5504;0,00
2021-U27;20-39;Uvaccinerede;27;0;956225;2,82
2021-U27;20-39;1. stik;6;1;379311;1,58
2021-U27;20-39;2. stik;0;2;159992;0,00
2021-U27;20-39;3. stik;0;3;44;0,00
2021-U27;40-64;Uvaccinerede;8;0;250746;3,19
2021-U27;40-64;1. stik;7;1;1147142;0,61
2021-U27;40-64;2. stik;1;2;509214;0,20
2021-U27;40-64;3. stik;0;3;123;0,00
2021-U27;65-79;Uvaccinerede;2;0;35386;5,65
2021-U27;65-79;1. stik;0;1;32959;0,00
2021-U27;65-79;2. stik;8;2;818991;0,98
